2023-10-10 09:38:46,691 INFO     preparing training data ...
2023-10-10 12:49:20,645 INFO     ==> pid: 0, No.9000 iter, val mrr=0.3894295512544625
2023-10-10 12:50:03,373 INFO     ==> pid: 0, No.9000 iter, test mrr=0.3884713467034282, hits@1=0.2741, hits@3=0.4390, hits@10=0.6138
2023-10-10 12:52:08,404 INFO     ==> pid: 0, No.10000 iter, val mrr=0.3928745084864075
2023-10-10 12:52:42,791 INFO     ==> pid: 0, No.10000 iter, test mrr=0.3916638800316704, hits@1=0.2773, hits@3=0.4421, hits@10=0.6170
2023-10-10 12:54:46,560 INFO     ==> pid: 0, No.11000 iter, val mrr=0.391428067951622
2023-10-10 12:56:55,952 INFO     ==> pid: 0, No.12000 iter, val mrr=0.3942536322682031
2023-10-10 12:57:30,100 INFO     ==> pid: 0, No.12000 iter, test mrr=0.39319790562878953, hits@1=0.2766, hits@3=0.4446, hits@10=0.6228
2023-10-10 12:59:28,607 INFO     ==> pid: 0, No.13000 iter, val mrr=0.39514594072097425
2023-10-10 13:00:13,973 INFO     ==> pid: 0, No.13000 iter, test mrr=0.39505913220022104, hits@1=0.2780, hits@3=0.4469, hits@10=0.6246
2023-10-10 13:02:15,624 INFO     ==> pid: 0, No.14000 iter, val mrr=0.39689550304532406
2023-10-10 13:02:53,207 INFO     ==> pid: 0, No.14000 iter, test mrr=0.39622610298653194, hits@1=0.2791, hits@3=0.4484, hits@10=0.6274
2023-10-10 13:05:00,221 INFO     ==> pid: 0, No.15000 iter, val mrr=0.3958326805576045
2023-10-10 13:07:02,013 INFO     ==> pid: 0, No.16000 iter, val mrr=0.3978500344857864
2023-10-10 13:07:35,654 INFO     ==> pid: 0, No.16000 iter, test mrr=0.397554468743934, hits@1=0.2794, hits@3=0.4504, hits@10=0.6309
2023-10-10 13:09:21,264 INFO     ==> pid: 0, No.17000 iter, val mrr=0.39571868006804767
2023-10-10 13:11:31,685 INFO     ==> pid: 0, No.18000 iter, val mrr=0.39843588072841984
2023-10-10 13:12:16,502 INFO     ==> pid: 0, No.18000 iter, test mrr=0.3970829284548986, hits@1=0.2786, hits@3=0.4495, hits@10=0.6322
2023-10-10 13:14:01,373 INFO     ==> pid: 0, No.19000 iter, val mrr=0.3977093836044571
2023-10-10 13:16:09,544 INFO     ==> pid: 0, No.20000 iter, val mrr=0.3986939944654079
2023-10-10 13:16:53,924 INFO     ==> pid: 0, No.20000 iter, test mrr=0.39739232402115526, hits@1=0.2780, hits@3=0.4512, hits@10=0.6344
2023-10-10 13:18:29,125 INFO     ==> pid: 0, No.21000 iter, val mrr=0.40054875716596294
2023-10-10 13:19:08,273 INFO     ==> pid: 0, No.21000 iter, test mrr=0.39974061996755395, hits@1=0.2806, hits@3=0.4539, hits@10=0.6354
2023-10-10 13:21:16,533 INFO     ==> pid: 0, No.22000 iter, val mrr=0.40001453727534486
2023-10-10 13:23:16,117 INFO     ==> pid: 0, No.23000 iter, val mrr=0.40024503028527625
2023-10-10 13:25:13,328 INFO     ==> pid: 0, No.24000 iter, val mrr=0.39989350790856365
2023-10-10 13:27:21,997 INFO     ==> pid: 0, No.25000 iter, val mrr=0.40128057736304074
2023-10-10 13:28:03,261 INFO     ==> pid: 0, No.25000 iter, test mrr=0.3998812848207328, hits@1=0.2799, hits@3=0.4525, hits@10=0.6381
2023-10-10 13:29:34,584 INFO     ==> pid: 0, No.26000 iter, val mrr=0.4017293124891804
2023-10-10 13:30:15,976 INFO     ==> pid: 0, No.26000 iter, test mrr=0.40025267759500954, hits@1=0.2798, hits@3=0.4534, hits@10=0.6380
2023-10-10 13:32:25,674 INFO     ==> pid: 0, No.27000 iter, val mrr=0.4021717622730428
2023-10-10 13:33:10,517 INFO     ==> pid: 0, No.27000 iter, test mrr=0.40104040914714156, hits@1=0.2807, hits@3=0.4544, hits@10=0.6387
2023-10-10 13:34:55,234 INFO     ==> pid: 0, No.28000 iter, val mrr=0.4023577313994939
2023-10-10 13:35:41,485 INFO     ==> pid: 0, No.28000 iter, test mrr=0.40106958065976056, hits@1=0.2809, hits@3=0.4540, hits@10=0.6387
2023-10-10 13:37:50,325 INFO     ==> pid: 0, No.29000 iter, val mrr=0.4022674652182753
2023-10-10 13:39:36,837 INFO     ==> pid: 0, No.30000 iter, val mrr=0.4017953762013481
2023-10-10 13:41:45,345 INFO     ==> pid: 0, No.31000 iter, val mrr=0.4016188136165474
2023-10-10 13:43:42,149 INFO     ==> pid: 0, No.32000 iter, val mrr=0.4024372641056309
2023-10-10 13:44:21,352 INFO     ==> pid: 0, No.32000 iter, test mrr=0.40148786185594315, hits@1=0.2809, hits@3=0.4550, hits@10=0.6404
2023-10-10 13:46:30,657 INFO     ==> pid: 0, No.33000 iter, val mrr=0.4030684207867033
2023-10-10 13:47:15,779 INFO     ==> pid: 0, No.33000 iter, test mrr=0.4020938582595735, hits@1=0.2821, hits@3=0.4546, hits@10=0.6407
2023-10-10 13:49:04,976 INFO     ==> pid: 0, No.34000 iter, val mrr=0.4031442271294937
2023-10-10 13:49:50,390 INFO     ==> pid: 0, No.34000 iter, test mrr=0.4017008554464339, hits@1=0.2811, hits@3=0.4543, hits@10=0.6405
2023-10-10 13:51:59,881 INFO     ==> pid: 0, No.35000 iter, val mrr=0.4031544544833351
2023-10-10 13:52:45,497 INFO     ==> pid: 0, No.35000 iter, test mrr=0.40201401577655904, hits@1=0.2816, hits@3=0.4549, hits@10=0.6406
2023-10-10 13:54:07,858 INFO     ==> pid: 0, No.36000 iter, val mrr=0.40317931944465946
2023-10-10 13:54:34,084 INFO     ==> pid: 0, No.36000 iter, test mrr=0.40188285912583127, hits@1=0.2813, hits@3=0.4560, hits@10=0.6410
2023-10-10 13:55:53,782 INFO     ==> pid: 0, No.37000 iter, val mrr=0.40308623631677615
2023-10-10 13:57:03,116 INFO     ==> pid: 0, No.38000 iter, val mrr=0.4033526234402472
2023-10-10 13:57:28,630 INFO     ==> pid: 0, No.38000 iter, test mrr=0.40209944292912964, hits@1=0.2816, hits@3=0.4556, hits@10=0.6415
2023-10-10 13:58:45,196 INFO     ==> pid: 0, No.39000 iter, val mrr=0.40350097321499834
2023-10-10 13:59:08,503 INFO     ==> pid: 0, No.39000 iter, test mrr=0.4023542680242492, hits@1=0.2819, hits@3=0.4565, hits@10=0.6416
2023-10-10 14:00:30,025 INFO     ==> pid: 0, No.40000 iter, val mrr=0.4036042556944105
2023-10-10 14:01:04,468 INFO     ==> pid: 0, No.40000 iter, test mrr=0.40231180355401835, hits@1=0.2818, hits@3=0.4554, hits@10=0.6414
2023-10-10 14:03:23,112 INFO     ==> pid: 0, No.41000 iter, val mrr=0.4037006993728965
2023-10-10 14:04:18,970 INFO     ==> pid: 0, No.41000 iter, test mrr=0.4025234056627555, hits@1=0.2819, hits@3=0.4561, hits@10=0.6417
2023-10-10 14:07:02,257 INFO     ==> pid: 0, No.42000 iter, val mrr=0.40360106148112745
2023-10-10 14:09:44,440 INFO     ==> pid: 0, No.43000 iter, val mrr=0.40364891998311614
2023-10-10 14:11:31,097 INFO     ==> pid: 0, No.44000 iter, val mrr=0.4037092076374745
2023-10-10 14:11:57,269 INFO     ==> pid: 0, No.44000 iter, test mrr=0.4024399531779803, hits@1=0.2818, hits@3=0.4554, hits@10=0.6418
2023-10-10 14:13:35,321 INFO     ==> pid: 0, No.45000 iter, val mrr=0.40367898286931064
2023-10-10 14:14:57,292 INFO     ==> pid: 0, No.46000 iter, val mrr=0.40382304528897783
2023-10-10 14:15:24,629 INFO     ==> pid: 0, No.46000 iter, test mrr=0.40270078884957566, hits@1=0.2820, hits@3=0.4568, hits@10=0.6419
2023-10-10 14:17:13,956 INFO     ==> pid: 0, No.47000 iter, val mrr=0.4040280558515161
2023-10-10 14:17:37,908 INFO     ==> pid: 0, No.47000 iter, test mrr=0.4024665050267345, hits@1=0.2817, hits@3=0.4560, hits@10=0.6418
2023-10-10 14:19:14,500 INFO     ==> pid: 0, No.48000 iter, val mrr=0.40393946396252883
2023-10-10 14:20:41,457 INFO     ==> pid: 0, No.49000 iter, val mrr=0.40385010147110095
2023-10-10 14:22:19,819 INFO     ==> pid: 0, No.50000 iter, val mrr=0.40407516379468833
2023-10-10 14:22:46,411 INFO     ==> pid: 0, No.50000 iter, test mrr=0.40285604009084475, hits@1=0.2822, hits@3=0.4562, hits@10=0.6417
2023-10-10 14:22:47,500 INFO     trials:3/200
2023-10-10 14:22:52,311 INFO     ==> pid: 0, proparams_dict: {'batch_size': 1024, 'dim': 1000, 'n_neg': 2048, 'regularizer': 'DURA', 'loss_function': 'BCE_mean', 'initializer': 'xavier_normal', 'lr': 0.019762236849992655, 'regu_weight': 2.4046274473178816e-08, 'advs': 0, 'dropoutRate': 0.0003443775658637627, 'gamma': 7.684913837760412, 'optimizer': 'adam', 'shareInverseRelation': True, 'training_mode': 'negativeSampling', 'label_smooth': 0.0, 'filter_falseNegative': True, 'embedding_range': 0.01} 

2023-10-10 14:22:52,403 INFO     ==> pid: 0, num_parameters for TADistMult: 18779002
2023-10-10 14:28:56,115 INFO     ==> pid: 0, No.1000 iter, val mrr=0.057077509147612074
2023-10-10 14:29:22,348 INFO     ==> pid: 0, No.1000 iter, test mrr=0.05732864930777838, hits@1=0.0151, hits@3=0.0379, hits@10=0.1174
2023-10-10 14:34:39,285 INFO     ==> pid: 0, No.2000 iter, val mrr=0.061240290154942825
2023-10-10 14:35:06,563 INFO     ==> pid: 0, No.2000 iter, test mrr=0.061058444780464814, hits@1=0.0155, hits@3=0.0431, hits@10=0.1262
2023-10-10 14:40:35,354 INFO     ==> pid: 0, No.3000 iter, val mrr=0.057617335773987796
2023-10-10 14:46:08,152 INFO     ==> pid: 0, No.4000 iter, val mrr=0.060496647909391715
2023-10-10 14:51:24,628 INFO     ==> pid: 0, No.5000 iter, val mrr=0.06514955213423819
2023-10-10 14:51:50,316 INFO     ==> pid: 0, No.5000 iter, test mrr=0.06616293121903401, hits@1=0.0201, hits@3=0.0500, hits@10=0.1356
2023-10-10 14:57:23,223 INFO     ==> pid: 0, No.6000 iter, val mrr=0.07371595565404584
2023-10-10 14:57:45,823 INFO     ==> pid: 0, No.6000 iter, test mrr=0.07440254366330931, hits@1=0.0233, hits@3=0.0583, hits@10=0.1555
2023-10-10 15:03:22,524 INFO     ==> pid: 0, No.7000 iter, val mrr=0.07205436881725687
2023-10-10 15:08:55,257 INFO     ==> pid: 0, No.8000 iter, val mrr=0.07684866029708005
2023-10-10 15:09:22,001 INFO     ==> pid: 0, No.8000 iter, test mrr=0.07785354570072658, hits@1=0.0243, hits@3=0.0612, hits@10=0.1612
